ID	Total_abun	Sp_rich	Habitat	Rugosity	Dist_neighbour	Neighbour_5m	HAS
1	14	3	bommie	0.486561668	4	1	17
2	63	6	bommie	0.651193772	1	6	21
3	0	0	bommie	0.558684307	1	4	16
4	22	4	bommie	0.605762591	1	4	20
5	5	2	bommie	0.594720598	1	2	22
6	7	2	bommie	0.496228514	1	2	18
7	13	4	bommie	0.559928315	1	2	19
8	31	6	bommie	0.581669227	1	2	18
9	27	5	bommie	0.461842105	1.5	2	16
14	13	5	bommie	0.487600789	5	4	16
15	46	9	bommie	0.642917037	3	6	25
16	108	4	bommie	0.531644345	1	6	20
17	1	1	bommie	0.527066747	4	5	14
20	2	1	seagrass	0.379760148	5	1	11
21	5	4	seagrass	0.587752636	15	0	14
22	36	9	seagrass	0.582417463	16	0	14
23	31	6	seagrass	0.534793107	18	0	18
24	4	3	seagrass	0.498215158	5	1	17
25	11	5	seagrass	0.497822338	3	1	17
26	46	7	seagrass	0.556327041	4	1	16
27	2	2	seagrass	0.525301928	3	1	16
28	70	10	seagrass	0.407094919	2	1	18
29	99	7	seagrass	0.511031746	3	1	15
30	68	3	seagrass	0.460812471	27	0	17
31	42	10	seagrass	0.620455109	34	0	16
32	80	7	bommie	0.594071876	5	1	20
33	6	1	bommie	0.535060492	1	6	17
34	22	5	bommie	0.575793964	1	9	17
35	3	2	bommie	0.50564196	1	9	19
36	0	0	bommie	0.548492764	1	9	13
37	0	0	bommie	0.564527751	1	8	14
38	39	19	bommie	0.632596071	1	4	22
39	31	9	bommie	0.5979093	3	4	21
40	0	0	bommie	0.503583274	0.4	3	14
41	6	2	bommie	0.506936282	0.4	4	18
42	4	1	bommie	0.491807885	2	3	19
43	11	6	bommie	0.490283447	3	3	20
44	26	12	bommie	0.647746071	1	4	26
45	21	8	bommie	0.473321488	1	5	21
46	63	16	bommie	0.395662435	4	10	23
47	57	16	bommie	0.682544054	3	5	25
48	58	14	bommie	0.617608877	1	6	18
49	295	19	bommie	0.686738484	4	6	20
50	92	10	bommie	0.510922529	1	2	19
51	15	8	bommie	0.587200165	2	3	20
52	104	10	bommie	0.59145718	1	5	24
53	16	8	bommie	0.483217621	1	4	16
54	12	8	bommie	0.533717046	1	5	21
55	0	0	bommie	0.426389874	1	5	12
56	0	0	bommie	0.395989413	1	5	15
57	0	0	bommie	0.355482638	1	6	12
58	2	2	bommie	0.441207275	1	3	15
59	0	0	bommie	0.336971025	1	4	14
60	34	10	bommie	0.706803984	1	8	21
61	2	2	bommie	0.506059527	0.5	10	14
62	21	8	bommie	0.58035571	0.75	7	19
63	5	3	bommie	0.462868569	1	6	19
64	19	6	bommie	0.596132442	1	6	21
65	7	5	bommie	0.40711375	0.5	8	19
66	9	4	bommie	0.497822338	1	9	21
67	11	5	bommie	0.456969499	2	9	19
68	33	9	bommie	0.493699684	0.9	10	20
69	86	17	bommie	0.559003675	1	10	22
70	2	2	bommie	0.555449524	1.2	8	16
71	69	16	bommie	0.52758209	0.5	11	20
72	48	6	bommie	0.453769918	2	10	16
73	9	3	bommie	0.480773596	0.6	9	14
74	30	6	bommie	0.602001077	0.5	9	20
75	0	0	bommie	0.520765403	0.5	9	17
76	319	16	bommie	0.521636901	0.5	14	27
77	8	5	bommie	0.544295806	1.2	8	21
78	1	1	bommie	0.47619835	0.5	8	12
79	103	8	bommie	0.502439082	0.5	7	20
80	26	12	bommie	0.40157597	0.5	7	18
81	17	7	bommie	0.487837895	1	7	18
82	2	1	bommie	0.365840467	1	6	11
83	295	7	bommie	0.438574467	0.5	6	17
84	54	8	bommie	0.518743284	1	8	18
85	13	8	bommie	0.504816792	1	7	16
86	2	2	bommie	0.474101637	0.5	8	14
87	17	11	bommie	0.576003232	1.5	5	19
88	5	3	bommie	0.434272717	1.2	12	16
89	7	5	bommie	0.510566535	1.5	9	17
90	7	5	bommie	0.478442107	0.5	10	20
91	4	3	bommie	0.537026584	0.5	16	19
92	37	9	bommie	0.50509512	0.5	19	20
93	16	4	bommie	0.511329811	0.5	21	18
94	38	4	bommie	0.549047924	1	12	22
95	5	4	bommie	0.525155745	1	11	21
96	0	0	bommie	0.398010821	1	11	12
97	141	5	bommie	0.5171633	1	19	17
98	164	8	bommie	0.565792264	0.5	20	22
99	5	1	bommie	0.532637571	0.5	18	16
100	1	1	bommie	0.538645098	0.5	16	17
101	32	5	Bommie	0.550840122	1	11	20
102	15	7	Bommie	0.577244041	0.75	16	21
103	15	6	Bommie	0.609597481	0.6	14	21
104	3	2	Bommie	0.608029415	1.5	12	21
105	28	8	Bommie	0.540876995	1	6	18
106	0	0	Bommie	0.438243809	0.55	14	15
107	94	14	Bommie	0.459899587	0.75	11	24
108	6	4	Bommie	0.379252835	1	9	18
109	25	8	Bommie	0.52879474	1.2	11	19
110	25	7	Bommie	0.601673205	1	11	19
111	13	5	Bommie	0.581734216	0.5	12	19
112	20	8	Bommie	0.449062586	1.5	12	20
113	6	6	Bommie	0.553400751	1	15	19
114	45	14	Bommie	0.516129032	1.5	15	23
115	35	10	Bommie	0.533372191	1	18	21
116	15	4	Bommie	0.627321603	1	4	20
117	14	6	Bommie	0.452425992	0.5	15	15
118	3	2	Bommie	0.463588375	0.5	8	14
119	46	16	Crest	0.701633234			22
120	38	13	Crest	0.612731924			19
121	7	5	Crest	0.471728871			15
122	47	13	Crest	0.525841282			19
123	33	13	Crest	0.558547433			19
124	45	17	Crest	0.67402668			24
125	49	13	Crest	0.535699815			24
126	40	16	Crest	0.565670172			22
127	71	21	Crest	0.56640851			25
128	96	23	Crest	0.616049383			25
129	172	14	Crest	0.54504658			18
130	327	11	Crest	0.489233583			15
131	198	23	Crest	0.529273683			20
132	183	29	Crest	0.510166988			19
133	72	22	Crest	0.588566343			22
134	62	23	Crest	0.532439549			22
135	105	23	Crest	0.367315169			18
136	73	18	Crest	0.64846851			19
137	219	20	Crest	0.597155162			26
138	180	19	Crest	0.629549214			24
139	256	13	Crest	0.599680126			21
140	197	10	Crest	0.520194878			21
141	28	6	Crest	0.53898246			18
142	226	17	Crest	0.559343968			21
143	9	7	Bommie	0.308561814	1.75	9	16
