ID	Dist_neighbour	Neighbour_5m	Habitat	HAS	HAS_2	Rugosity	Invert_rich	Invert_rich2
1	High	Low	Bommie	Low	Medium	High	1	1.0000001
2	Low	Medium	Bommie	Very high	High	High	6	6.0000001
3	Low	Low	Bommie	Low	Low	High	0	0.0000001
4	Low	Low	Bommie	Medium	Medium	High	2	2.0000001
5	Low	Low	Bommie	High	Medium	High	2	2.0000001
6	Low	Low	Bommie	Medium	Medium	High	1	1.0000001
7	Low	Low	Bommie	Medium	Medium	High	1	1.0000001
8	Low	Low	Bommie	Medium	Medium	High	2	2.0000001
9	Low	Low	Bommie	Low	Low	Medium	1	1.0000001
14	Very high	Low	Bommie	Low	Low	High	3	3.0000001
15	Medium	Medium	Bommie	Very high	High	High	3	3.0000001
16	Low	Medium	Bommie	Medium	Medium	High	3	3.0000001
17	High	Low	Bommie	Low	Low	High	5	5.0000001
20	Very high	Low	Seagrass	Very low	Low	Medium	2	2.0000001
21	Very high	Low	Seagrass	Low	Low	High	1	1.0000001
22	Very high	Low	Seagrass	Low	Low	High	1	1.0000001
23	Very high	Low	Seagrass	Medium	Medium	High	2	2.0000001
24	Very high	Low	Seagrass	Low	Medium	High	2	2.0000001
25	Medium	Low	Seagrass	Low	Medium	High	1	1.0000001
26	High	Low	Seagrass	Low	Low	High	1	1.0000001
27	Medium	Low	Seagrass	Low	Low	High	0	0.0000001
28	Medium	Low	Seagrass	Medium	Medium	Medium	1	1.0000001
29	Medium	Low	Seagrass	Low	Low	High	0	0.0000001
30	Very high	Low	Seagrass	Low	Medium	Medium	0	0.0000001
31	Very high	Low	Seagrass	Low	Low	High	2	2.0000001
32	Very high	Low	Bommie	Medium	Medium	High	1	1.0000001
33	Low	Medium	Bommie	Low	Medium	High	3	3.0000001
34	Low	Medium	Bommie	Low	Medium	High	0	0.0000001
35	Low	Medium	Bommie	Medium	Medium	High	3	3.0000001
36	Low	Medium	Bommie	Very low	Low	High	2	2.0000001
37	Low	Medium	Bommie	Low	Low	High	1	1.0000001
38	Low	Low	Bommie	High	Medium	High	4	4.0000001
39	Medium	Low	Bommie	High	Medium	High	3	3.0000001
40	Very low	Low	Bommie	Low	Low	High	2	2.0000001
41	Very low	Low	Bommie	Medium	Medium	High	2	2.0000001
42	Medium	Low	Bommie	Medium	Medium	High	1	1.0000001
43	Medium	Low	Bommie	Medium	Medium	High	2	2.0000001
44	Low	Low	Bommie	Very high	High	High	1	1.0000001
45	Low	Low	Bommie	High	Medium	Medium	6	6.0000001
46	High	Medium	Bommie	High	High	Medium	8	8.0000001
