ID	Dist_neighbour	Neighbour_5m	Habitat	HAS	Rugosity	Invert_rich
1	4	1	Bommie	17	0.4866	1
2	1	6	Bommie	24	0.6512	6
3	1	4	Bommie	16	0.5587	0
4	1	4	Bommie	20	0.6058	2
5	1	2	Bommie	22	0.5947	2
6	1	2	Bommie	18	0.4962	1
7	1	2	Bommie	19	0.5599	1
8	1	2	Bommie	18	0.5817	2
9	1.5	2	Bommie	16	0.4618	1
14	5	4	Bommie	16	0.4876	3
15	3	6	Bommie	25	0.6429	3
16	1	6	Bommie	20	0.5316	3
17	4	5	Bommie	14	0.5271	5
20	5	1	Seagrass	11	0.3798	2
21	15	0	Seagrass	14	0.5878	1
22	16	0	Seagrass	14	0.5824	1
23	18	0	Seagrass	18	0.5348	2
24	5	1	Seagrass	17	0.4982	2
25	3	1	Seagrass	17	0.4978	1
26	4	1	Seagrass	16	0.5563	1
27	3	1	Seagrass	16	0.5253	0
28	2	1	Seagrass	18	0.4071	1
29	3	1	Seagrass	15	0.5110	0
30	27.00	0	Seagrass	17	0.4608	0
31	34.00	0	Seagrass	16	0.6205	2
32	5	1	Bommie	20	0.5941	1
33	1	6	Bommie	17	0.5351	3
34	1	9	Bommie	17	0.5758	0
35	1	9	Bommie	19	0.5056	3
36	1	9	Bommie	13	0.5485	2
37	1	8	Bommie	14	0.5645	1
38	1	4	Bommie	22	0.6326	4
39	3	4	Bommie	21	0.5979	3
40	0.4	3	Bommie	14	0.5036	2
41	0.4	4	Bommie	18	0.5069	2
42	2	3	Bommie	19	0.4918	1
43	3	3	Bommie	20	0.4903	2
44	1	4	Bommie	26	0.6477	1
45	1	5	Bommie	21	0.4733	6
46	4	10	Bommie	23	0.3957	8
47	3	5	Bommie	25	0.6825	4
48	1	6	Bommie	18	0.6176	5
49	4	6	Bommie	20	0.6867	4
50	1	2	Bommie	19	0.5109	1
51	2	3	Bommie	20	0.5872	2
52	1	5	Bommie	24	0.5915	5
53	1	4	Bommie	16	0.4832	5
54	1	5	Bommie	21	0.5337	5
55	1	5	Bommie	12	0.4264	1
56	1	5	Bommie	15	0.3960	3
57	1	6	Bommie	12	0.3555	2
58	1	3	Bommie	15	0.4412	1
59	1	4	Bommie	14	0.3370	1
60	1	8	Bommie	21	0.7068	3
61	0.5	10	Bommie	14	0.5061	2
62	0.75	7	Bommie	19	0.5804	3
63	1	6	Bommie	19	0.4629	1
64	1	6	Bommie	21	0.5961	2
65	0.5	8	Bommie	19	0.4071	4
66	1	9	Bommie	21	0.4978	3
67	2	9	Bommie	19	0.4570	2
68	0.9	10	Bommie	20	0.4937	3
69	1	10	Bommie	22	0.5590	3
70	1.2	8	Bommie	16	0.5554	4
71	0.5	11	Bommie	20	0.5276	5
72	2	10	Bommie	16	0.4538	6
73	0.6	9	Bommie	14	0.4808	6
74	0.5	9	Bommie	20	0.6020	4
75	0.5	9	Bommie	17	0.5208	1
76	0.5	14	Bommie	27	0.5216	4
77	1.2	8	Bommie	21	0.5443	0
78	0.5	8	Bommie	12	0.4762	0
79	0.5	7	Bommie	20	0.5024	3
80	0.5	7	Bommie	18	0.4016	4
81	1	7	Bommie	18	0.4878	4
82	1	6	Bommie	11	0.3658	0
83	0.5	6	Bommie	17	0.4386	2
84	1	8	Bommie	18	0.5187	2
85	1	7	Bommie	16	0.5048	2
86	0.5	8	Bommie	14	0.4741	3
87	1.5	5	Bommie	19	0.5760	4
88	1.2	12	Bommie	16	0.4343	2
