ID	Total_abun	Sp_rich	Dist_neighbour	Neighbour_5m	Habitat	HAS	Rugosity
1	14	3	4	1	Bommie	17	0.4866
2	63	6	1	6	Bommie	24	0.6512
3	0	0	1	4	Bommie	16	0.5587
4	22	4	1	4	Bommie	20	0.6058
5	5	2	1	2	Bommie	22	0.5947
6	7	2	1	2	Bommie	18	0.4962
7	13	4	1	2	Bommie	19	0.5599
8	31	6	1	2	Bommie	18	0.5817
9	27	5	1.5	2	Bommie	16	0.4618
14	13	5	5	4	Bommie	16	0.4876
15	46	9	3	6	Bommie	25	0.6429
16	108	4	1	6	Bommie	20	0.5316
17	1	1	4	5	Bommie	14	0.5271
20	2	1	5	1	Seagrass	11	0.3798
21	5	4	15	0	Seagrass	14	0.5878
22	36	9	16	0	Seagrass	14	0.5824
23	31	6	18	0	Seagrass	18	0.5348
24	4	3	5	1	Seagrass	17	0.4982
25	11	5	3	1	Seagrass	17	0.4978
26	46	7	4	1	Seagrass	16	0.5563
27	2	2	3	1	Seagrass	16	0.5253
28	70	10	2	1	Seagrass	18	0.4071
29	99	7	3	1	Seagrass	15	0.5110
30	68	3	27.00	0	Seagrass	17	0.4608
31	42	10	34.00	0	Seagrass	16	0.6205
32	80	7	5	1	Bommie	20	0.5941
33	6	1	1	6	Bommie	17	0.5351
34	22	5	1	9	Bommie	17	0.5758
35	3	2	1	9	Bommie	19	0.5056
36	0	0	1	9	Bommie	13	0.5485
37	0	0	1	8	Bommie	14	0.5645
38	39	18	1	4	Bommie	22	0.6326
39	31	9	3	4	Bommie	21	0.5979
40	0	0	0.4	3	Bommie	14	0.5036
41	6	2	0.4	4	Bommie	18	0.5069
42	4	1	2	3	Bommie	19	0.4918
43	11	6	3	3	Bommie	20	0.4903
44	26	12	1	4	Bommie	26	0.6477
45	21	8	1	5	Bommie	21	0.4733
46	63	16	4	10	Bommie	23	0.3957
47	57	16	3	5	Bommie	25	0.6825
48	58	14	1	6	Bommie	18	0.6176
49	295	19	4	6	Bommie	20	0.6867
50	92	10	1	2	Bommie	19	0.5109
51	15	8	2	3	Bommie	20	0.5872
52	104	10	1	5	Bommie	24	0.5915
53	16	8	1	4	Bommie	16	0.4832
54	12	8	1	5	Bommie	21	0.5337
55	0	0	1	5	Bommie	12	0.4264
56	0	0	1	5	Bommie	15	0.3960
57	0	0	1	6	Bommie	12	0.3555
58	2	2	1	3	Bommie	15	0.4412
59	0	0	1	4	Bommie	14	0.3370
60	34	10	1	8	Bommie	21	0.7068
61	2	2	0.5	10	Bommie	14	0.5061
62	21	8	0.75	7	Bommie	19	0.5804
63	5	3	1	6	Bommie	19	0.4629
64	19	6	1	6	Bommie	21	0.5961
65	7	5	0.5	8	Bommie	19	0.4071
66	9	4	1	9	Bommie	21	0.4978
67	11	5	2	9	Bommie	19	0.4570
68	33	9	0.9	10	Bommie	20	0.4937
69	86	17	1	10	Bommie	22	0.5590
70	2	2	1.2	8	Bommie	16	0.5554
71	69	16	0.5	11	Bommie	20	0.5276
72	48	6	2	10	Bommie	16	0.4538
73	9	3	0.6	9	Bommie	14	0.4808
74	30	6	0.5	9	Bommie	20	0.6020
75	0	0	0.5	9	Bommie	17	0.5208
76	319	15	0.5	14	Bommie	27	0.5216
77	8	5	1.2	8	Bommie	21	0.5443
78	1	1	0.5	8	Bommie	12	0.4762
79	103	8	0.5	7	Bommie	20	0.5024
80	26	12	0.5	7	Bommie	18	0.4016
81	17	7	1	7	Bommie	18	0.4878
82	2	1	1	6	Bommie	11	0.3658
83	295	7	0.5	6	Bommie	17	0.4386
84	54	8	1	8	Bommie	18	0.5187
85	13	8	1	7	Bommie	16	0.5048
86	2	2	0.5	8	Bommie	14	0.4741
87	17	11	1.5	5	Bommie	19	0.5760
88	5	3	1.2	12	Bommie	16	0.4343
