ID	Habitat	Rugosity	HAS
1	Bommie	0.486561668	17
2	Bommie	0.651193772	21
3	Bommie	0.558684307	16
4	Bommie	0.605762591	20
5	Bommie	0.594720598	22
6	Bommie	0.496228514	18
7	Bommie	0.559928315	19
8	Bommie	0.581669227	18
9	Bommie	0.461842105	16
14	Bommie	0.487600789	16
15	Bommie	0.642917037	25
16	Bommie	0.531644345	20
17	Bommie	0.527066747	14
20	Seagrass	0.379760148	11
21	Seagrass	0.587752636	14
22	Seagrass	0.582417463	14
23	Seagrass	0.534793107	18
24	Seagrass	0.498215158	17
25	Seagrass	0.497822338	17
26	Seagrass	0.556327041	16
27	Seagrass	0.525301928	16
28	Seagrass	0.407094919	18
29	Seagrass	0.511031746	15
30	Seagrass	0.460812471	17
31	Seagrass	0.620455109	16
32	Bommie	0.594071876	20
33	Bommie	0.535060492	17
34	Bommie	0.575793964	17
35	Bommie	0.50564196	19
36	Bommie	0.548492764	13
37	Bommie	0.564527751	14
38	Bommie	0.632596071	22
39	Bommie	0.5979093	21
40	Bommie	0.503583274	14
41	Bommie	0.506936282	18
42	Bommie	0.491807885	19
43	Bommie	0.490283447	20
44	Bommie	0.647746071	26
45	Bommie	0.473321488	21
46	Bommie	0.395662435	23
47	Bommie	0.682544054	25
48	Bommie	0.617608877	18
49	Bommie	0.686738484	20
50	Bommie	0.510922529	19
51	Bommie	0.587200165	20
52	Bommie	0.59145718	24
53	Bommie	0.483217621	16
54	Bommie	0.533717046	21
55	Bommie	0.426389874	12
56	Bommie	0.395989413	15
57	Bommie	0.355482638	12
58	Bommie	0.441207275	15
59	Bommie	0.336971025	14
60	Bommie	0.706803984	21
61	Bommie	0.506059527	14
62	Bommie	0.58035571	19
63	Bommie	0.462868569	19
64	Bommie	0.596132442	21
65	Bommie	0.40711375	19
66	Bommie	0.497822338	21
67	Bommie	0.456969499	19
68	Bommie	0.493699684	20
69	Bommie	0.559003675	22
70	Bommie	0.555449524	16
71	Bommie	0.52758209	20
72	Bommie	0.453769918	16
73	Bommie	0.480773596	14
74	Bommie	0.602001077	20
75	Bommie	0.520765403	17
76	Bommie	0.521636901	27
77	Bommie	0.544295806	21
78	Bommie	0.47619835	12
79	Bommie	0.502439082	20
80	Bommie	0.40157597	18
81	Bommie	0.487837895	18
82	Bommie	0.365840467	11
83	Bommie	0.438574467	17
84	Bommie	0.518743284	18
85	Bommie	0.504816792	16
86	Bommie	0.474101637	14
87	Bommie	0.576003232	19
88	Bommie	0.434272717	16
89	Bommie	0.510566535	17
90	Bommie	0.478442107	20
91	Bommie	0.537026584	19
92	Bommie	0.50509512	20
93	Bommie	0.511329811	18
94	Bommie	0.549047924	22
95	Bommie	0.525155745	21
96	Bommie	0.398010821	12
97	Bommie	0.5171633	17
98	Bommie	0.565792264	22
99	Bommie	0.532637571	16
100	Bommie	0.538645098	17
101	Bommie	0.550840122	20
102	Bommie	0.577244041	21
103	Bommie	0.609597481	21
104	Bommie	0.608029415	21
105	Bommie	0.540876995	18
106	Bommie	0.438243809	15
107	Bommie	0.459899587	24
108	Bommie	0.379252835	18
109	Bommie	0.52879474	19
110	Bommie	0.601673205	19
111	Bommie	0.581734216	19
112	Bommie	0.449062586	20
113	Bommie	0.553400751	19
114	Bommie	0.516129032	23
115	Bommie	0.533372191	21
116	Bommie	0.627321603	20
117	Bommie	0.452425992	15
118	Bommie	0.463588375	14
119	Crest	0.701633234	22
120	Crest	0.612731924	19
121	Crest	0.471728871	15
122	Crest	0.525841282	19
123	Crest	0.558547433	19
124	Crest	0.67402668	24
125	Crest	0.535699815	24
126	Crest	0.565670172	22
127	Crest	0.56640851	25
128	Crest	0.616049383	25
129	Crest	0.54504658	18
130	Crest	0.489233583	15
131	Crest	0.529273683	20
132	Crest	0.510166988	19
133	Crest	0.588566343	22
134	Crest	0.532439549	22
135	Crest	0.367315169	18
136	Crest	0.64846851	19
137	Crest	0.597155162	26
138	Crest	0.629549214	24
139	Crest	0.599680126	21
140	Crest	0.520194878	21
141	Crest	0.53898246	18
142	Crest	0.559343968	21
143	Bommie	0.308561814	16
144	Bommie	0.496194512	20
145	Bommie	0.410404996	13
146	Bommie	0.346610383	11
147	Bommie	0.451119251	21
148	Bommie	0.423886565	17
149	Bommie	0.457708474	17
150	Bommie	0.224820564	19
151	Bommie	0.402664314	16
152	Bommie	0.366188139	16
153	Bommie	0.169149313	18
154	Bommie	0.451933879	19
155	Bommie	0.53197845	21
156	Bommie	0.407627214	14
157	Bommie	0.492528703	18
158	Bommie	0.511705438	19
159	Bommie	0.485354041	16
160	Bommie	0.394963142	16
161	Bommie	0.225549206	16
162	Bommie	0.484580698	18
163	Bommie	0.450269659	19
164	Bommie	0.347195679	13
165	Bommie	0.54572039	20
166	Bommie	0.353915354	10
167	Bommie	0.431492152	17
168	Bommie	0.512550009	17
169	Bommie	0.379406499	12
170	Bommie	0.255527323	13
171	Bommie	0.429423565	18
172	Bommie	0.348873745	17
173	Bommie	0.398530354	15
174	Bommie	0.417414411	17
175	Bommie	0.36601545	19
176	Bommie	0.340407088	21
177	Bommie	0.311433627	16
178	Bommie	0.330770558	21
179	Bommie	0.324042304	16
180	Bommie	0.36063817	16
181	Bommie	0.406127027	19
182	Bommie	0.292603068	21
183	Bommie	0.400605689	16
184	Bommie	0.449925836	15
185	Bommie	0.117094844	20
186	Bommie	0.418266773	17
187	Bommie	0.151964801	16
188	Bommie	0.370167187	14
189	Bommie	0.021648428	20
190	Seagrass	0.404380236	17
191	Seagrass	0.367237435	16
192	Seagrass	0.697580927	15
193	Seagrass	0.516303224	24
194	Crest	0.424807287	24
195	Crest	0.335675062	23
196	Crest	0.431115499	22
197	Crest	0.447998327	16
198	Crest	0.456684488	22
199	Crest	0.531845303	21
200	Crest	0.479959732	26
201	Crest	0.503774571	25
202	Crest	0.436540345	24
203	Crest	0.474305695	21
204	Crest	0.486636131	21
205	Crest	0.427011329	23
206	Crest	0.433590831	22
207	Crest	0.456251563	22
208	Crest	0.487260652	15
209	Crest	0.655524657	21
